LIN #,NSN,MPO DESCRIPTION,NSN DESCRIPTION,COMMON NAME,SERIAL,Property Book,Location,MOS,Assigned To,STATUS,SI,NOTES,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061007,YES,KIT,C,Theo,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061161,YES,C Room,C,,IN,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061166,YES,C Room,C,,IN,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061169,YES,KIT,C,Bret,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061626,YES,KIT,C,Noel,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061629,YES,C Room,C,,IN,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061927,YES,KIT,C,Jered,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061940,YES,C Room,C,,IN,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061941,YES,KIT,C,Steve,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061944,YES,KIT,C,Spencer,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061947,YES,C Room,C,Justin,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061948,YES,KIT,C,Kam,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR061955,YES,KIT,C,Paul,OUT,NO,,
09065N,5825015795635,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"NAVIGATION SET,SATELLITE SIGNALS",Garmin GPS 401,1LR062391,YES,C Room,C,,IN,NO,,
09065N,582501D184867,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"GPS, PORTABLE GARMIN FORETRX 601",Garmin GPS 601,58A022787,YES,C Room,C,,IN,NO,,
09065N,582501D184867,GLOBAL POSITIONING SYSTEM (GPS): PORTABL,"GPS, PORTABLE GARMIN FORETRX 601",Garmin GPS 601,58A022738,YES,C Room,C,,IN,NO,,
